T,k,bid,ask
4.27926,-0.0397987,0.364716,0.371417
4.27926,0.00102325,0.364406,0.370876
4.27926,0.040244,0.36419,0.370439
4.27926,0.0779843,0.364131,0.368895
4.27926,0.114352,0.364061,0.368644
4.27926,0.149443,0.364033,0.368471
4.27926,0.183345,0.364043,0.368366
4.27926,0.337496,0.364791,0.368626
4.27926,0.471027,0.36628,0.369703
5.27584,-1.19218,0.401465,0.406594
5.27584,-1.07439,0.395963,0.400265
5.27584,-0.969034,0.390426,0.394883
5.27584,-0.873724,0.386464,0.390387
5.27584,-0.786713,0.383186,0.386586
5.27584,-0.70667,0.380299,0.383428
5.27584,-0.632562,0.377684,0.380821
5.27584,-0.563569,0.375463,0.379078
5.27584,-0.499031,0.373614,0.37725
5.27584,-0.438406,0.372202,0.37569
5.27584,-0.381248,0.370938,0.374381
5.27584,-0.32718,0.369791,0.373281
5.27584,-0.275887,0.366587,0.374524
5.27584,-0.275887,0.368755,0.372353
5.27584,-0.227097,0.365935,0.37349
5.27584,-0.180577,0.365387,0.372626
5.27584,-0.136125,0.364933,0.371916
5.27584,-0.0935655,0.364567,0.371345
5.27584,-0.0527435,0.364289,0.370878
5.27584,-0.0135228,0.364106,0.370471
5.27584,0.0242175,0.36417,0.368573
5.27584,0.0605851,0.364031,0.368494
5.27584,0.0956764,0.363931,0.368484
5.27584,0.129578,0.363868,0.368529
5.27584,0.283729,0.36394,0.369446
5.27584,0.41726,0.366009,0.369958
6.27242,-1.24705,0.398768,0.403889
6.27242,-1.12927,0.393979,0.398227
6.27242,-1.02391,0.389028,0.393462
6.27242,-0.9286,0.385452,0.389551
6.27242,-0.841588,0.382524,0.386223
6.27242,-0.761546,0.379915,0.383444
6.27242,-0.687438,0.377581,0.381103
6.27242,-0.618445,0.375513,0.379113
6.27242,-0.553906,0.373686,0.377434
6.27242,-0.493282,0.372263,0.375995
6.27242,-0.436123,0.371141,0.374751
6.27242,-0.382056,0.370111,0.37369
6.27242,-0.330763,0.366242,0.375706
6.27242,-0.330763,0.369158,0.372785
6.27242,-0.281973,0.365696,0.374613
6.27242,-0.235453,0.365232,0.373671
6.27242,-0.191001,0.364845,0.372866
6.27242,-0.148441,0.364529,0.372186
6.27242,-0.107619,0.364279,0.37162
6.27242,-0.0683986,0.36409,0.371158
6.27242,-0.0306582,0.364041,0.369121
6.27242,0.00570941,0.363973,0.368852
6.27242,0.0408008,0.363928,0.368676
6.27242,0.0747023,0.363903,0.368574
6.27242,0.228853,0.364053,0.368961
6.27242,0.362384,0.364683,0.369756
7.26899,-1.30258,0.396495,0.401709
7.26899,-1.1848,0.39221,0.396643
7.26899,-1.07944,0.387831,0.392175
7.26899,-0.984127,0.384554,0.38865
7.26899,-0.897116,0.381777,0.38569
7.26899,-0.817073,0.37934,0.383213
7.26899,-0.742965,0.377165,0.381101
7.26899,-0.673972,0.375252,0.379266
7.26899,-0.609434,0.373564,0.377666
7.26899,-0.548809,0.372071,0.376289
7.26899,-0.491651,0.370899,0.375103
7.26899,-0.437584,0.369947,0.374068
7.26899,-0.38629,0.365545,0.376713
7.26899,-0.38629,0.369087,0.373163
7.26899,-0.3375,0.365143,0.375497
7.26899,-0.29098,0.364804,0.374417
7.26899,-0.246528,0.364524,0.373461
7.26899,-0.203969,0.364301,0.372623
7.26899,-0.163147,0.364129,0.371895
7.26899,-0.123926,0.364004,0.371269
7.26899,-0.0861858,0.363922,0.37074
7.26899,-0.0498182,0.363877,0.370301
7.26899,-0.0147269,0.363862,0.369947
7.26899,0.0191747,0.363872,0.369672
7.26899,0.173325,0.363916,0.369279
7.26899,0.306857,0.364375,0.369646
8.26557,-1.35942,0.395205,0.400331
8.26557,-1.24164,0.391313,0.395596
8.26557,-1.13628,0.387296,0.391481
8.26557,-1.04097,0.384299,0.388257
8.26557,-0.953954,0.38182,0.385549
8.26557,-0.873911,0.379526,0.3833
8.26557,-0.799803,0.377477,0.381375
8.26557,-0.73081,0.375677,0.379685
8.26557,-0.666272,0.374097,0.378191
8.26557,-0.605647,0.372689,0.376878
8.26557,-0.548489,0.371428,0.375737
8.26557,-0.494422,0.37042,0.374739
8.26557,-0.443128,0.364154,0.37936
8.26557,-0.443128,0.369644,0.373854
8.26557,-0.394338,0.363871,0.378079
8.26557,-0.347818,0.363626,0.376925
8.26557,-0.303366,0.363422,0.37589
8.26557,-0.260807,0.363257,0.374965
8.26557,-0.219985,0.363132,0.374142
8.26557,-0.180764,0.363042,0.373415
8.26557,-0.143024,0.362987,0.372777
8.26557,-0.106656,0.362964,0.372222
8.26557,-0.0715647,0.362969,0.371744
8.26557,-0.0376631,0.362999,0.371339
8.26557,0.116488,0.362994,0.370124
8.26557,0.250019,0.363534,0.370043
9.28131,-1.41809,0.394199,0.399331
9.28131,-1.30031,0.390592,0.394838
9.28131,-1.19495,0.3869,0.390977
9.28131,-1.09964,0.384203,0.387969
9.28131,-1.01263,0.381855,0.385482
9.28131,-0.932586,0.379651,0.383415
9.28131,-0.858478,0.377673,0.381641
9.28131,-0.789485,0.375932,0.380076
9.28131,-0.724946,0.374406,0.378678
9.28131,-0.664322,0.373055,0.377428
9.28131,-0.607163,0.371836,0.37632
9.28131,-0.553096,0.370729,0.375348
9.28131,-0.501803,0.362218,0.38218
9.28131,-0.501803,0.369881,0.374485
9.28131,-0.453013,0.362053,0.380804
9.28131,-0.406493,0.361914,0.379562
9.28131,-0.362041,0.361795,0.378433
9.28131,-0.319481,0.361701,0.377411
9.28131,-0.278659,0.361631,0.376487
9.28131,-0.239439,0.361585,0.375656
9.28131,-0.201698,0.361564,0.374909
9.28131,-0.165331,0.361567,0.374243
9.28131,-0.130239,0.361591,0.37365
9.28131,-0.0963378,0.361638,0.373127
9.28131,0.0578129,0.361562,0.370918
9.28131,0.191344,0.362205,0.370371
